cmpdname,BoilingPoint,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify1
n-HEXANE,341.87,86.18,0,6,0,6,0,0,0,0,0,Hydrocarbon
Amylamine,377.85,87.16,26,6,1,5,1,0,0,0,0,Amine
"1,4-Butanediol",502.65,90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
"But-2-ene-1,4-diol",404.15,88.11,40.5,6,2,4,0,2,1,1,0,Alcohol
"2-Butyne-1,4-diol",511.15,86.09,40.5,6,2,4,0,2,1,0,1,Alcohol
N-Methylbutylamine,364.15,87.16,12,6,1,5,1,0,0,0,0,Amine
"N,N'-Dimethylethylenediamine",393.15,88.15,24.1,6,2,4,2,0,0,0,0,Amine
2-Ethoxyethanol,407.85,90.12,29.5,6,2,4,0,2,0,0,0,Alcohol
"N,N,N',N'-Tetramethyl-1,3-propanediamine",417.15,130.229,6.5,9,2,7,2,0,2,0,0,Amine
Diisobutylamine,412.75,129.24,12,9,1,8,1,0,2,0,0,Amine
"1,1'-Oxydi-2-propanol",506.15,134.17,49.7,9,3,6,0,3,2,0,0,Alcohol
Squalane,693.15,422.8,0,30,0,30,0,0,6,0,0,Hydrocarbon
"N,N,N',N'-Tetramethyl-1,6-hexanediamine",482.65,172.31,6.5,12,2,10,2,0,2,0,0,Amine
Hexylamine,405.15,101.19,26,7,1,6,1,0,0,0,0,Amine
